Name	Currency
VIAVI SOLUTIONS INC	USD
PLEXUS CORP	USD
PLANTRONICS INC	USD
INSIGHT ENTERPRISES INC	USD
METHODE ELECTRONICS INC	USD
BENCHMARK ELECTRONICS INC	USD
UBIQUITI NETWORKS INC	USD
CTS CORP	USD
BADGER METER INC	USD
OSI SYSTEMS INC	USD
TTM TECHNOLOGIES	USD
ELECTRONICS FOR IMAGING	USD
FITBIT INC - A	USD
DIEBOLD NIXDORF INC	USD
OCLARO INC	USD
KNOWLES CORP	USD
MTS SYSTEMS CORP	USD
ADTRAN INC	USD
STRATASYS LTD	USD
SCANSOURCE INC	USD
3D SYSTEMS CORP	USD
SUPER MICRO COMPUTER INC	USD
INFINERA CORP	USD
CRAY INC	USD
AVX CORP	USD
FARO TECHNOLOGIES INC	USD
ACACIA COMMUNICATIONS INC	USD
INTEL CORP	USD
NVIDIA CORP	USD
BROADCOM INC	USD
TEXAS INSTRUMENTS INC	USD
QUALCOMM INC	USD
APPLIED MATERIALS INC	USD
MICRON TECHNOLOGY INC	USD
ANALOG DEVICES INC	USD
LAM RESEARCH CORP	USD
MICROCHIP TECHNOLOGY INC	USD
SKYWORKS SOLUTIONS INC	USD
XILINX INC	USD
KLA-TENCOR CORP	USD
MAXIM INTEGRATED PRODUCTS	USD
ADVANCED MICRO DEVICES	USD
ON SEMICONDUCTOR CORP	USD
QORVO INC	USD
TERADYNE INC	USD
UNIVERSAL DISPLAY CORP	USD
MICROSEMI CORP	USD
FIRST SOLAR INC	USD
CAVIUM INC	USD
MKS INSTRUMENTS INC	USD
CYPRESS SEMICONDUCTOR CORP	USD
MONOLITHIC POWER SYSTEMS INC	USD
INTEGRATED DEVICE TECH INC	USD
ENTEGRIS INC	USD
CREE INC	USD
VERSUM MATERIALS INC	USD
SILICON LABORATORIES INC	USD
CIRRUS LOGIC INC	USD
ADVANCED ENERGY INDUSTRIES	USD
SEMTECH CORP	USD
POWER INTEGRATIONS INC	USD
CABOT MICROELECTRONICS CORP	USD
AMBARELLA INC	USD
MAXLINEAR INC	USD
BROOKS AUTOMATION INC	USD
